Date,Open,High,Low,Close,Adj Close,Volume
2018-12-03,5.300000,5.520000,4.742000,4.962000,4.962000,174800
2018-12-04,5.152000,5.165000,4.186000,4.340000,4.340000,269400
2018-12-06,5.071000,5.145000,4.320000,4.750000,4.750000,217100
2018-12-07,5.194000,5.420000,4.999000,5.000000,5.000000,187000
2018-12-10,5.022000,5.338000,5.022000,5.231000,5.231000,165200
2018-12-11,5.422000,5.602000,5.332000,5.380000,5.380000,158600
2018-12-12,5.759000,5.994000,5.495000,5.690000,5.690000,167000
2018-12-13,5.986000,6.060000,5.748000,5.850000,5.850000,113500
2018-12-14,5.867000,6.000000,5.567000,5.700000,5.700000,122200
2018-12-17,5.683000,5.820000,5.230000,5.380000,5.380000,118600
2018-12-18,5.815000,5.844000,5.000000,5.100000,5.100000,45500
2018-12-19,5.288000,5.448000,4.750000,4.870000,4.870000,75700
2018-12-20,5.500000,5.500000,4.900000,5.044000,5.044000,83600
2018-12-21,5.027000,5.500000,4.874000,5.151000,5.151000,55000
2018-12-24,5.021000,5.460000,5.021000,5.422000,5.422000,45100
2018-12-26,5.422000,5.422000,5.422000,5.422000,5.422000,0
2018-12-27,5.602000,5.794000,5.500000,5.700000,5.700000,51300
2018-12-28,5.801000,6.500000,5.720000,6.417000,6.417000,101500
2018-12-31,6.586000,7.333000,6.514000,6.746000,6.746000,144100
2019-01-02,6.879000,7.197000,6.654000,6.730000,6.730000,113400
2019-01-03,6.664000,6.900000,6.647000,6.660000,6.660000,65000
2019-01-04,6.446000,6.906000,6.446000,6.820000,6.820000,79200
2019-01-07,6.931000,7.049000,6.787000,6.827000,6.827000,88100
2019-01-08,6.885000,7.000000,6.494000,6.600000,6.600000,62500
2019-01-09,6.648000,6.880000,6.600000,6.745000,6.745000,43300
2019-01-10,6.778000,7.980000,6.600000,6.725000,6.725000,111700
2019-01-11,6.726000,9.500000,6.307000,6.394000,6.394000,88300
2019-01-14,7.625000,7.625000,6.593000,6.699000,6.699000,118700
2019-01-15,6.751000,6.920000,6.510000,6.625000,6.625000,97800
2019-01-16,6.688000,7.200000,6.686000,6.795000,6.795000,79800
2019-01-17,6.772000,6.850000,6.615000,6.700000,6.700000,69300
2019-01-18,6.795000,6.850000,6.639000,6.783000,6.783000,62400
2019-01-22,6.565000,6.790000,6.366000,6.510000,6.510000,75900
2019-01-23,6.658000,6.750000,6.498000,6.506000,6.506000,36400
2019-01-24,6.499000,6.900000,6.420000,6.563000,6.563000,50300
2019-01-25,6.534000,6.750000,6.404000,6.450000,6.450000,58600
2019-01-28,6.499000,6.900000,6.075000,6.735000,6.735000,71200
2019-01-29,6.721000,6.900000,6.579000,6.650000,6.650000,63600
2019-01-30,6.900000,6.900000,6.660000,6.818000,6.818000,37200
2019-01-31,6.887000,7.300000,6.845000,7.090000,7.090000,151900
2019-02-01,7.097000,7.600000,6.795000,7.570000,7.570000,170600
2019-02-04,7.625000,8.800000,7.600000,7.795000,7.795000,239600
2019-02-05,7.690000,8.800000,7.467000,7.621000,7.621000,143600
2019-02-06,7.690000,7.800000,7.150000,7.340000,7.340000,82900
2019-02-07,7.340000,7.950000,7.216000,7.600000,7.600000,72600
2019-02-08,7.596000,7.950000,7.449000,7.736000,7.736000,102400
2019-02-11,7.682000,8.000000,7.397000,7.397000,7.397000,89900
2019-02-12,7.476000,7.750000,7.346000,7.556000,7.556000,103600
2019-02-13,7.553000,7.600000,7.430000,7.600000,7.600000,66500
2019-02-14,7.512000,7.590000,7.000000,7.480000,7.480000,87900
2019-02-15,7.493000,8.800000,7.488000,7.750000,7.750000,350000
2019-02-19,7.844000,8.190000,7.844000,8.122000,8.122000,231700
2019-02-20,8.210000,8.250000,7.899000,8.000000,8.000000,160300
2019-02-21,8.087000,8.750000,8.010000,8.257000,8.257000,220000
2019-02-22,8.394000,8.780000,8.303000,8.750000,8.750000,212500
2019-02-25,8.823000,9.250000,8.775000,9.106000,9.106000,220900
2019-02-26,9.104000,9.250000,9.067000,9.182000,9.182000,177800
2019-02-27,9.079000,9.450000,8.800000,9.100000,9.100000,152100
2019-02-28,9.107000,9.269000,8.775000,9.140000,9.140000,149000
2019-03-01,8.995000,9.270000,8.800000,8.919000,8.919000,154600
2019-03-04,8.978000,10.085000,8.750000,8.860000,8.860000,107900
2019-03-05,8.937000,9.000000,8.750000,8.800000,8.800000,76500
2019-03-06,8.850000,9.100000,8.310000,8.400000,8.400000,206500
2019-03-07,8.392000,8.690000,6.970000,7.917000,7.917000,202900
2019-03-08,7.820000,10.765000,7.646000,8.225000,8.225000,135900
2019-03-11,9.000000,9.000000,8.000000,8.180000,8.180000,98800
2019-03-12,8.248000,8.750000,8.100000,8.350000,8.350000,118300
2019-03-13,8.493000,9.000000,8.350000,8.875000,8.875000,166600
2019-03-14,8.875000,9.103000,8.875000,9.100000,9.100000,145100
2019-03-15,9.105000,9.507000,8.747000,8.773000,8.773000,312700
2019-03-18,10.000000,10.000000,9.028000,9.300000,9.300000,229500
2019-03-19,9.480000,9.730000,9.050000,9.200000,9.200000,242300
2019-03-20,9.424000,9.700000,9.197000,9.233000,9.233000,128100
2019-03-21,9.479000,10.400000,9.300000,10.150000,10.150000,394900
2019-03-22,9.998000,12.455000,9.703000,10.199000,10.199000,441600
2019-03-25,10.203000,11.500000,9.928000,11.160000,11.160000,467600
2019-03-26,11.208000,12.000000,11.158000,11.350000,11.350000,318100
2019-03-27,11.355000,12.000000,10.499000,11.241000,11.241000,276500
2019-03-28,10.875000,11.700000,10.875000,10.982000,10.982000,197400
2019-03-29,10.931000,11.700000,10.552000,11.253000,11.253000,156900
2019-04-01,11.625000,14.390000,10.939000,11.767000,11.767000,654300
2019-04-02,11.948000,13.815000,9.750000,12.170000,12.170000,646700
2019-04-03,12.377000,13.000000,12.192000,12.525000,12.525000,843600
2019-04-04,12.943000,13.246000,12.297000,12.780000,12.780000,742300
2019-04-05,12.986000,13.270000,12.350000,12.396000,12.396000,465200
2019-04-08,12.862000,13.150000,11.499000,11.710000,11.710000,563900
2019-04-09,11.889000,12.150000,11.075000,11.222000,11.222000,454500
2019-04-10,11.106000,11.881000,11.106000,11.674000,11.674000,371200
2019-04-11,11.883000,12.140000,10.930000,11.200000,11.200000,462800
2019-04-12,11.630000,11.630000,11.220000,11.450000,11.450000,239000
2019-04-15,11.517000,11.770000,10.550000,10.770000,10.770000,339100
2019-04-16,11.061000,11.715000,10.870000,11.492000,11.492000,259200
2019-04-17,11.914000,12.300000,11.704000,12.210000,12.210000,305200
