Date,Open,High,Low,Close,Adj Close,Volume
2/27/2018,8.24,8.38,7.17,7.62,7.62,2801000
2/28/2018,7.75,9.17,7.335,9.17,9.17,9875400
3/1/2018,9.18,10.05,8.52,9.69,9.69,11858800
3/2/2018,9.5,9.7,9.25,9.4,9.4,3325100
3/5/2018,9.67,10.25,9.46,9.77,9.77,6488200
3/6/2018,10.22,10.39,9.8,9.91,9.91,5337700
3/7/2018,9.83,9.94,9.55,9.81,9.81,3160300
3/8/2018,9.89,9.95,9.09,9.54,9.54,3232200
3/9/2018,9.71,9.759,9.26,9.32,9.32,2069700
3/12/2018,9.3,9.32,8.66,8.75,8.75,3338100
3/13/2018,8.9,9.059,8.55,8.63,8.63,1962800
3/14/2018,8.62,8.63,8.251,8.4,8.4,1757300
3/15/2018,8.49,8.57,8,8.13,8.13,1947800
3/16/2018,8.17,8.17,7.81,7.82,7.82,2196100
3/19/2018,8.12,8.75,8.1,8.75,8.75,6653300
3/20/2018,9.08,9.08,8.09,8.19,8.19,3217500
3/21/2018,8.34,8.469,7.97,8,8,1624200
3/22/2018,7.47,7.55,7.3,7.39,7.39,3123800
3/23/2018,7.88,7.94,7.38,7.47,7.47,2063000
3/26/2018,7.55,7.65,7.38,7.46,7.46,1060200
3/27/2018,7.51,7.54,6.93,7.03,7.03,1530800
3/28/2018,6.96,7.04,6.345,6.51,6.51,2223700
3/29/2018,6.54,6.97,6.45,6.73,6.73,1423000
4/2/2018,6.73,6.73,6.15,6.25,6.25,1853900
4/3/2018,6.31,6.48,5.6,5.6,5.6,2336500
4/4/2018,5.5,5.7,5.12,5.6,5.6,3688400
4/5/2018,5.96,6,5.64,5.9,5.9,2112000
4/6/2018,5.82,6.129,5.58,5.63,5.63,2145200
4/9/2018,5.7,5.8,5.5,5.57,5.57,1758000
4/10/2018,5.68,6.55,5.26,6.37,6.37,3580200
4/11/2018,6.4,6.65,6.15,6.36,6.36,2035200
4/12/2018,6.4,6.74,6.38,6.68,6.68,1734500
4/13/2018,6.81,7.45,6.77,7.12,7.12,5360200
4/16/2018,7.5,7.8,7.2,7.73,7.73,4895400
4/17/2018,7.8,7.94,7.3,7.44,7.44,2667500
4/18/2018,7.44,7.52,7.17,7.33,7.33,1565100
4/19/2018,7.3,7.52,7.18,7.41,7.41,1809800
4/20/2018,7.52,7.66,7.25,7.37,7.37,2035000
4/23/2018,7.33,7.39,6.99,7.02,7.02,1874500
4/24/2018,7,7.29,6.78,7,7,1295700
4/25/2018,7.01,7.14,6.8,6.88,6.88,996000
4/26/2018,6.89,7.04,6.66,6.92,6.92,979000
4/27/2018,7.03,7.09,6.75,6.8,6.8,1135600
4/30/2018,7,7.13,6.87,6.91,6.91,1802500
5/1/2018,6.5,6.6,6.1,6.22,6.22,3128300
5/2/2018,6.12,6.179,5.75,5.81,5.81,2925000
5/3/2018,5.83,6.04,5.79,5.87,5.87,1847300
5/4/2018,5.89,6,5.855,5.88,5.88,1343300
5/7/2018,5.88,5.97,5.58,5.67,5.67,2163600
5/8/2018,5.61,5.74,5.5,5.54,5.54,1410400
5/9/2018,5.68,5.74,5.5,5.52,5.52,1723300
5/10/2018,5.61,5.64,5.52,5.6,5.6,944700
5/11/2018,5.69,6.25,5.64,6.12,6.12,3350600
5/14/2018,6.26,6.85,6.25,6.56,6.56,6234700
5/15/2018,6.69,6.75,6.06,6.27,6.27,4269700
5/16/2018,6.3,6.34,6.01,6.04,6.04,1835600
5/17/2018,6.04,6.14,5.76,5.8,5.8,2383000
5/18/2018,5.77,6.33,5.77,6.23,6.23,3616800
5/21/2018,6.29,6.68,6.26,6.57,6.57,3754400
5/22/2018,6.62,6.64,6.16,6.24,6.24,3414800
5/23/2018,6.24,6.3,6.15,6.21,6.21,1561700
5/24/2018,6.28,6.28,6.05,6.13,6.13,1609200
5/25/2018,6.13,6.179,5.9,6.01,6.01,1895000
5/29/2018,6,6.12,5.88,6.02,6.02,1572100
5/30/2018,6.05,6.41,5.95,6.38,6.38,2758100
5/31/2018,6.48,6.74,6.12,6.24,6.24,3243300
6/1/2018,6.29,6.84,6.21,6.84,6.84,3420400
6/4/2018,6.91,7.15,6.68,7,7,6192600
6/5/2018,7.06,7.15,6.751,6.99,6.99,4523100
6/6/2018,7.1,7.93,6.93,7.93,7.93,10186800
6/7/2018,8.06,8.15,7.41,7.66,7.66,8993900
6/8/2018,7.51,7.61,6.76,7.23,7.23,8500000
6/11/2018,7.23,7.32,6.95,6.96,6.96,3861500
6/12/2018,6.95,7.03,6.68,6.77,6.77,4475900
6/13/2018,6.7,7.18,6.62,7.12,7.12,3996800
6/14/2018,7.07,7.29,6.87,6.93,6.93,3424800
6/15/2018,6.84,7.049,6.805,7.02,7.02,2307700
6/18/2018,6.98,6.98,6.7,6.78,6.78,2722200
6/19/2018,6.74,6.98,6.51,6.86,6.86,3766700
6/20/2018,7.2,7.399,6.87,7.22,7.22,7029900
6/21/2018,7.25,7.853,7.25,7.67,7.67,8154200
6/22/2018,7.77,8.11,7.15,7.24,7.24,7541700
6/25/2018,7.3,7.3,6.87,6.9,6.9,4233400
6/26/2018,6.92,6.98,6.63,6.79,6.79,3740200
6/27/2018,6.65,6.77,6.09,6.18,6.18,5461100
6/28/2018,6.32,6.6,6.2,6.42,6.42,2982300
6/29/2018,6.52,6.74,6.4,6.52,6.52,2744200
7/2/2018,6.62,7.041,6.55,6.96,6.96,3169100
7/3/2018,6.98,6.98,6.65,6.78,6.78,1705100
7/5/2018,6.89,7,6.85,6.97,6.97,1673000
7/6/2018,6.97,6.98,6.76,6.96,6.96,1364000
7/9/2018,6.95,7.07,6.91,6.95,6.95,1902300
7/10/2018,6.98,7.19,6.91,6.98,6.98,2409500
7/11/2018,6.92,7.05,6.81,6.97,6.97,1363300
7/12/2018,7.05,7.12,6.98,7.05,7.05,1668800
