Date,Open,High,Low,Close,Adj Close,Volume
2018-10-29,7.946000,8.500000,5.824000,5.850000,5.850000,47400
2018-10-30,5.655000,6.560000,5.653000,6.560000,6.560000,99900
2018-10-31,6.725000,7.400000,6.723000,7.210000,7.210000,207500
2018-11-01,7.577000,8.500000,7.364000,8.409000,8.409000,457000
2018-11-02,8.557000,9.800000,8.047000,8.434000,8.434000,354000
2018-11-05,8.415000,9.450000,7.749000,8.120000,8.120000,245600
2018-11-06,8.159000,9.000000,7.740000,8.163000,8.163000,296500
2018-11-07,8.431000,8.500000,7.850000,8.100000,8.100000,244100
2018-11-08,8.096000,8.101000,7.110000,7.265000,7.265000,240700
2018-11-09,7.199000,7.212000,6.128000,6.373000,6.373000,361900
2018-11-12,6.815000,6.815000,6.089000,6.400000,6.400000,195700
2018-11-13,6.228000,6.390000,5.821000,5.938000,5.938000,122900
2018-11-14,5.901000,5.930000,5.125000,5.700000,5.700000,221400
2018-11-15,5.551000,6.000000,5.199000,5.314000,5.314000,140200
2018-11-16,5.429000,6.100000,5.429000,5.447000,5.447000,180900
2018-11-19,5.511000,9.200000,5.480000,5.649000,5.649000,112700
2018-11-20,5.247000,6.000000,4.816000,4.928000,4.928000,238000
2018-11-21,5.900000,5.900000,5.164000,5.593000,5.593000,122900
2018-11-23,6.127000,7.000000,6.000000,6.249000,6.249000,143200
2018-11-26,6.507000,6.820000,6.275000,6.390000,6.390000,224800
2018-11-27,6.350000,6.702000,5.749000,5.750000,5.750000,187300
2018-11-28,5.675000,5.972000,5.429000,5.500000,5.500000,171400
2018-11-29,5.505000,5.803000,5.167000,5.208000,5.208000,213100
2018-11-30,5.323000,5.418000,5.097000,5.289000,5.289000,135400
2018-12-03,5.487000,6.500000,4.550000,4.657000,4.657000,347400
2018-12-04,4.666000,4.705000,3.883000,4.023000,4.023000,465700
2018-12-06,4.079000,5.478000,4.048000,4.337000,4.337000,408400
2018-12-07,5.025000,5.350000,4.500000,4.903000,4.903000,275500
2018-12-10,5.384000,5.860000,4.875000,4.953000,4.953000,184400
2018-12-11,5.059000,5.200000,4.980000,4.980000,4.980000,150100
2018-12-12,5.001000,5.350000,5.001000,5.064000,5.064000,163600
2018-12-13,5.153000,5.160000,4.750000,4.904000,4.904000,140800
2018-12-14,5.230000,5.230000,4.510000,4.810000,4.810000,125500
2018-12-17,4.865000,5.010000,4.600000,4.600000,4.600000,133100
2018-12-18,4.653000,4.944000,4.380000,4.944000,4.944000,198600
2018-12-19,4.979000,5.215000,4.696000,4.755000,4.755000,127100
2018-12-20,4.643000,5.000000,4.510000,4.569000,4.569000,189500
2018-12-21,4.709000,4.800000,4.190000,4.276000,4.276000,180800
2018-12-24,4.280000,4.379000,3.997000,4.250000,4.250000,100600
2018-12-26,4.800000,4.800000,4.250000,4.700000,4.700000,83300
2018-12-27,4.512000,4.700000,4.310000,4.550000,4.550000,106800
2018-12-28,4.619000,4.930000,4.582000,4.740000,4.740000,190300
2018-12-31,4.863000,4.900000,4.720000,4.740000,4.740000,148000
2019-01-02,4.701000,5.090000,4.580000,5.050000,5.050000,134700
2019-01-03,5.051000,6.813000,5.000000,5.197000,5.197000,133200
2019-01-04,5.320000,5.760000,5.217000,5.608000,5.608000,199100
2019-01-07,5.723000,5.950000,5.684000,5.790000,5.790000,223200
2019-01-08,5.865000,5.991000,5.542000,5.790000,5.790000,186800
2019-01-09,6.050000,6.050000,5.613000,5.671000,5.671000,152400
2019-01-10,5.752000,6.000000,5.610000,5.694000,5.694000,164100
2019-01-11,5.751000,6.220000,5.750000,6.015000,6.015000,237900
2019-01-14,6.144000,6.350000,5.850000,5.969000,5.969000,208200
2019-01-15,6.025000,6.240000,5.780000,6.010000,6.010000,150000
2019-01-16,5.900000,6.100000,5.780000,5.878000,5.878000,149400
2019-01-17,6.100000,6.100000,5.780000,5.798000,5.798000,126800
2019-01-18,5.854000,6.000000,5.650000,5.700000,5.700000,173900
2019-01-22,5.837000,6.087000,5.730000,5.814000,5.814000,207000
2019-01-23,5.891000,6.040000,5.590000,6.000000,6.000000,124500
2019-01-24,5.930000,6.040000,5.840000,6.024000,6.024000,92400
