Date,Open,High,Low,Close,Adj Close,Volume
6/14/2018,7.352,7.557,7.14,7.376,7.376,90300
6/15/2018,7.537,7.973,7.293,7.973,7.973,71700
6/18/2018,8.346,9.395,8.029,9.395,9.395,147600
6/19/2018,9.765,10.92,9.529,9.729,9.729,137300
6/20/2018,10.461,10.461,9.958,10.04,10.04,57500
6/21/2018,10.336,10.659,9.996,10.14,10.14,57800
6/22/2018,9.977,10.704,9.37,10.446,10.446,199400
6/25/2018,10.865,12.24,10.538,11.217,11.217,193800
6/26/2018,11.617,12.673,11.3,12.142,12.142,169100
6/27/2018,12.325,12.605,10.248,11.454,11.454,122200
6/28/2018,11.065,11.79,10,10.214,10.214,82500
6/29/2018,10.602,11.2,10.5,10.876,10.876,42800
7/2/2018,11.99,12.89,11.15,12.7,12.7,44500
7/3/2018,12.75,12.75,11.1,11.5,11.5,56500
7/5/2018,11.178,11.89,10.102,10.548,10.548,116900
7/6/2018,10.514,11.013,10.1,10.742,10.742,34100
7/9/2018,10.85,11.47,10.673,10.693,10.693,18600
7/10/2018,10.953,13.975,10.622,10.68,10.68,29200
7/11/2018,10.191,10.5,9.894,10.028,10.028,64000
7/12/2018,8.815,10.148,8.815,9.12,9.12,80300
7/13/2018,8.613,9.5,8.341,8.517,8.517,157700
7/16/2018,8.804,8.804,8.152,8.59,8.59,46100
7/17/2018,9.08,9.08,8.353,8.549,8.549,43200
7/18/2018,8.543,10,8.4,8.626,8.626,35500
7/19/2018,8.519,8.84,8.397,8.487,8.487,45000
7/20/2018,8.726,8.86,8.447,8.506,8.506,24000
7/23/2018,8.487,8.79,8.285,8.3,8.3,46400
7/24/2018,8.345,8.454,8.3,8.335,8.335,21200
7/25/2018,8.444,8.446,8.241,8.445,8.445,28100
7/26/2018,8.421,8.432,8.33,8.355,8.355,21600
7/27/2018,8.495,8.503,8.21,8.21,8.21,34700
7/30/2018,8.24,8.53,8.11,8.258,8.258,28400
7/31/2018,8.343,8.343,7.995,8,8,33900
8/1/2018,8.19,8.265,7.895,8.17,8.17,25700
8/2/2018,8.183,8.33,7.823,7.879,7.879,46900
8/3/2018,8.24,8.24,7.913,7.943,7.943,21400
8/6/2018,8.04,8.06,7.88,8.05,8.05,17800
8/7/2018,7.744,7.91,7.58,7.6,7.6,83100
8/8/2018,7.438,7.55,7.157,7.227,7.227,83100
8/9/2018,7.21,7.42,7.173,7.392,7.392,31600
8/10/2018,7.455,7.49,7.17,7.17,7.17,22300
8/13/2018,7.238,7.39,6.95,6.95,6.95,73800
8/14/2018,7.08,7.08,6.442,6.57,6.57,80000
8/15/2018,7,7.49,6.88,7.389,7.389,69900
8/16/2018,7.447,7.64,7.39,7.543,7.543,28100
8/17/2018,7.631,7.655,7.341,7.626,7.626,45800
8/20/2018,7.94,8.05,7.74,7.799,7.799,100000
8/21/2018,7.88,8.09,7.66,7.849,7.849,127000
8/22/2018,8.057,8.22,7.84,7.897,7.897,53700
8/23/2018,7.934,8.123,7.779,7.801,7.801,52100
8/24/2018,7.994,8.447,7.984,8.26,8.26,160100
8/27/2018,8.596,9.255,8.586,9.09,9.09,294500
8/28/2018,9.048,10.25,8.88,10.07,10.07,258900
8/29/2018,11.479,12,10.989,11.3,11.3,484300
8/30/2018,11.294,12.31,11,11.106,11.106,525800
8/31/2018,11.365,12.001,11.11,11.635,11.635,247100
9/4/2018,11.999,14.053,11.999,14.052,14.052,869800
9/5/2018,14.5,15.09,13.095,14.4,14.4,724300
9/6/2018,14.416,15.092,12.577,14.66,14.66,452900
9/7/2018,14.751,15.357,14.019,14.89,14.89,359200
9/10/2018,15.488,16.25,14.995,15.02,15.02,863100
9/11/2018,14.993,18.002001,14.979,17.190001,17.190001,777800
9/12/2018,17.598,18.530001,16.061001,17.280001,17.280001,836400
9/13/2018,17.334,18.177,14.56,15.6,15.6,1014900
9/14/2018,14.523,17.523001,13.98,16.642,16.642,709600
9/17/2018,17.295,18.521999,17,18.299999,18.299999,422000
9/18/2018,19,25.031,18.792,23.16,23.16,1172900
9/19/2018,23.923,24.76,19.493999,22.447001,22.447001,1285700
9/20/2018,21.999001,22.577999,20.01,21.131001,21.131001,456400
9/21/2018,19.603001,21.941,17.983,21,21,782500
9/24/2018,19.603001,20.190001,17.372999,17.51,17.51,649400
9/25/2018,17.523001,18.299999,15.987,16.1,16.1,506100
9/26/2018,16.1,17.690001,16,17.690001,17.690001,446600
9/27/2018,17.705,19,17.698999,17.983,17.983,293800
9/28/2018,18.174,19.09,17.725,18.216999,18.216999,204200
10/1/2018,18.9,18.9,17.17,17.347,17.347,156900
10/2/2018,17.292999,17.559,16.1,16.379,16.379,243500
10/3/2018,16.469,16.65,15.94,16.059999,16.059999,189000
10/4/2018,15.584,16.052999,15,15.56,15.56,235100
10/5/2018,16.341999,16.450001,15.249,15.77,15.77,138000
10/8/2018,15.71,16,15.12,15.32,15.32,84300
10/9/2018,15.789,15.789,14.257,14.257,14.257,191200
10/10/2018,14.277,15.51,13.795,14.78,14.78,288000
10/11/2018,14.786,15.29,14.468,14.79,14.79,143800
10/12/2018,15.5,16.396999,15,15.91,15.91,209000
10/15/2018,16.65,19.323,16.42,18.959999,18.959999,413500
10/16/2018,19.320999,19.84,17.280001,17.867001,17.867001,343900
10/17/2018,17.372,18.528999,15.785,17.496,17.496,359300
10/18/2018,17.74,19,17.493999,18.139,18.139,138300
10/19/2018,18.278,18.323,16,16.337,16.337,271900
10/22/2018,16.334999,17.174,14.594,14.6,14.6,340100
10/23/2018,13.99,15.02,12.737,14.2,14.2,343700
10/24/2018,14.315,14.75,12.9,13.042,13.042,153900
10/25/2018,13.428,13.81,12.95,13.05,13.05,156600
10/26/2018,12.825,13.18,12.5,12.81,12.81,141500
10/29/2018,13.24,13.429,10.748,11,11,222600
10/30/2018,10.88,11.437,10.36,10.88,10.88,243600
10/31/2018,11.109,11.696,10.88,11.3,11.3,186300
11/1/2018,11.405,12.238,11.05,11.861,11.861,171800
11/2/2018,12.169,12.74,11.889,12.74,12.74,108400
11/5/2018,13.194,13.977,12.81,13.899,13.899,146800
