Date,Open,High,Low,Close,Adj Close,Volume
11/17/2017,1.592,1.592,1.495,1.565,1.565,91400
11/20/2017,1.562,1.562,1.396,1.478,1.478,287000
11/21/2017,1.451,1.478,1.379,1.379,1.379,230900
11/22/2017,1.35,1.43,1.338,1.41,1.41,211800
11/24/2017,1.46,1.46,1.421,1.421,1.421,26000
11/27/2017,1.419,1.419,1.296,1.342,1.342,38200
11/28/2017,1.351,1.351,1.246,1.3,1.3,64900
11/29/2017,1.289,1.324,1.28,1.318,1.318,32600
11/30/2017,1.359,1.359,1.294,1.295,1.295,6700
12/1/2017,1.376,1.376,1.373,1.374,1.374,20100
12/4/2017,1.382,1.447,1.36,1.447,1.447,46800
12/5/2017,1.507,1.619,1.507,1.609,1.609,263600
12/6/2017,1.655,1.664,1.543,1.636,1.636,62400
12/7/2017,1.641,1.641,1.592,1.6,1.6,70600
12/8/2017,1.599,1.65,1.599,1.64,1.64,125400
12/11/2017,1.678,1.785,1.67,1.755,1.755,168800
12/12/2017,2.01,2.447,2.01,2.398,2.398,221700
12/13/2017,2.53,2.54,2.103,2.249,2.249,204700
12/14/2017,2.244,2.456,2.228,2.353,2.353,38700
12/15/2017,2.461,2.469,2.292,2.354,2.354,37400
12/18/2017,2.343,2.419,2.297,2.419,2.419,48400
12/19/2017,2.397,2.41,2.296,2.296,2.296,30300
12/20/2017,2.298,2.298,2.178,2.195,2.195,36900
12/21/2017,2.18,2.346,2.18,2.292,2.292,191700
12/22/2017,2.408,2.408,2.39,2.39,2.39,13200
12/26/2017,2.5,2.5,2.5,2.5,2.5,4100
12/27/2017,2.492,2.73,2.44,2.622,2.622,34800
12/28/2017,2.65,2.721,2.433,2.56,2.56,83900
12/29/2017,2.559,2.625,2.446,2.465,2.465,49800
1/2/2018,2.437,2.725,2.437,2.719,2.719,54200
1/3/2018,2.681,2.988,2.681,2.745,2.745,186400
1/4/2018,2.75,2.75,2.625,2.65,2.65,84500
1/5/2018,2.65,2.976,2.619,2.927,2.927,122100
1/8/2018,2.996,3.07,2.95,3.021,3.021,121900
1/9/2018,3.06,3.06,2.916,2.979,2.979,88600
1/10/2018,2.973,2.997,2.736,2.752,2.752,109800
1/11/2018,2.744,2.744,2.524,2.549,2.549,121600
1/12/2018,2.554,2.78,2.353,2.496,2.496,159700
1/16/2018,2.52,2.717,2.52,2.568,2.568,30800
1/17/2018,2.579,2.712,2.57,2.7,2.7,25400
1/18/2018,2.774,2.774,2.68,2.711,2.711,18800
1/19/2018,2.704,2.725,2.703,2.723,2.723,3300
1/22/2018,2.734,2.75,2.644,2.644,2.644,21400
1/23/2018,2.643,2.707,2.643,2.7,2.7,24600
1/24/2018,2.723,2.723,2.553,2.716,2.716,8000
1/25/2018,2.74,2.74,2.705,2.713,2.713,34200
1/26/2018,2.68,2.69,2.622,2.647,2.647,237800
1/29/2018,2.652,2.652,2.446,2.446,2.446,34500
1/30/2018,2.38,2.38,2.195,2.195,2.195,27700
1/31/2018,2.356,2.525,2.195,2.51,2.51,21600
2/1/2018,2.517,2.679,2.159,2.244,2.244,37000
2/2/2018,2.24,2.356,1.843,2.158,2.158,281400
2/5/2018,2.09,2.29,1.994,2.073,2.073,36200
2/6/2018,2.18,2.18,2.11,2.16,2.16,3500
2/7/2018,2.192,2.2,2.149,2.149,2.149,6900
2/8/2018,2.086,2.086,2.05,2.05,2.05,6500
2/9/2018,1.997,2.457,1.997,2.457,2.457,8600
2/12/2018,2.455,2.543,2.422,2.49,2.49,34900
2/13/2018,2.484,2.49,2.398,2.49,2.49,4300
2/14/2018,2.479,2.594,2.479,2.5,2.5,30000
2/15/2018,2.598,2.61,2.579,2.579,2.579,20600
2/16/2018,2.464,2.464,2.302,2.42,2.42,25300
2/20/2018,2.247,2.247,2.166,2.18,2.18,67400
