Date,Open,High,Low,Close,Adj Close,Volume
2/18/2021,25.219999,26,23.728001,23.993,23.993,7300
2/19/2021,24.341,28,23.988001,25.35,25.35,140000
2/22/2021,24.542999,28,23.790001,24.437,24.437,278200
2/23/2021,23.99,24.4,22.684,23.993,23.993,171900
2/24/2021,24,24.200001,22.990999,23.629999,23.629999,180000
2/25/2021,24.039,24.200001,22.545,22.929001,22.929001,214800
2/26/2021,22.573,24.799999,21.525,21.93,21.93,60600
3/1/2021,22.098,24,21.540001,22.18,22.18,233000
3/2/2021,22.200001,22.299999,21.983,22.049999,22.049999,45100
3/3/2021,23.23,23.5,21.75,21.752001,21.752001,24200
3/4/2021,22.25,22.25,20.297001,20.6,20.6,68200
3/5/2021,21.549999,21.549999,18.200001,18.999001,18.999001,109300
3/8/2021,19.5,19.5,18.496,18.5,18.5,52600
3/9/2021,18.627001,19.99,18.6,18.950001,18.950001,104300
3/10/2021,19.228001,20.5,18.65,18.650999,18.650999,28500
3/11/2021,19.1,20.57,18.882999,19.889,19.889,54200
3/12/2021,20.671,23.700001,20.671,21.750999,21.750999,244700
3/15/2021,22.134001,24.950001,22,24.031,24.031,327100
3/16/2021,24.040001,24.6,22.1,22.1,22.1,54000
3/17/2021,23.325001,23.325001,21.5,21.747999,21.747999,59500
3/18/2021,22,22.1,20.805,20.884001,20.884001,39200
3/19/2021,21,21.072001,20.461,20.614,20.614,40200
3/22/2021,20.35,21,19.5,19.889999,19.889999,96700
3/23/2021,20.375,20.375,19,19.245001,19.245001,60600
3/24/2021,19.299999,20,18,18.304001,18.304001,63700
3/25/2021,18.375,18.75,17.52,18.049999,18.049999,76300
3/26/2021,18.004999,19.25,17.990999,18.497999,18.497999,33300
3/29/2021,18.763,19.076,17.65,17.75,17.75,46600
3/30/2021,17.75,18.25,16.35,16.509001,16.509001,179800
3/31/2021,16.690001,18.25,16.5,18.25,18.25,110700
4/1/2021,19.325001,19.85,17.988001,18.799999,18.799999,100200
4/5/2021,19.5,19.76,18.5,19.087999,19.087999,37300
4/6/2021,19,19.5,19,19.200001,19.200001,33800
4/7/2021,19.363001,19.77,19.18,19.42,19.42,20100
4/8/2021,19.975,21,19.419001,19.620001,19.620001,65900
4/9/2021,20,21,19.200001,19.5,19.5,38800
4/12/2021,20.465,20.465,18,19.700001,19.700001,30600
4/13/2021,19.6,20.73,18,18.6,18.6,47000
4/14/2021,19,19.49,18,18.301001,18.301001,81900
4/15/2021,18,19,17.996,18.25,18.25,26600
4/16/2021,17.799999,20,17.51,18.15,18.15,26000
4/19/2021,18.235001,18.83,17.25,17.25,17.25,32000
4/20/2021,17.715,18.379,17.049999,17.450001,17.450001,34500
4/21/2021,17.049999,18.200001,17.049999,18.200001,18.200001,43400
4/22/2021,18.200001,18.35,17.549999,17.768999,17.768999,99600
