Date,cgc_Open,cgc_High,cgc_Low,cgc_Close,cgc_Volume,cgc_prev_close,cgc_next_close,cgc_diff,cgc_%change,cgc_5day_avg_close,cgc_5day_avg_diff,cgc_10day_avg_close,cgc_10day_avg_diff,crlbf_Open,crlbf_High,crlbf_Low,crlbf_Close,crlbf_Volume,crlbf_prev_close,crlbf_next_close,crlbf_diff,crlbf_%change,crlbf_5day_avg_close,crlbf_5day_avg_diff,crlbf_10day_avg_close,crlbf_10day_avg_diff,cron_Open,cron_High,cron_Low,cron_Close,cron_Volume,cron_prev_close,cron_next_close,cron_diff,cron_%change,cron_5day_avg_close,cron_5day_avg_diff,cron_10day_avg_close,cron_10day_avg_diff,curlf_Open,curlf_High,curlf_Low,curlf_Close,curlf_Volume,curlf_prev_close,curlf_next_close,curlf_diff,curlf_%change,curlf_5day_avg_close,curlf_5day_avg_diff,curlf_10day_avg_close,curlf_10day_avg_diff,gtbif_Open,gtbif_High,gtbif_Low,gtbif_Close,gtbif_Volume,gtbif_prev_close,gtbif_next_close,gtbif_diff,gtbif_%change,gtbif_5day_avg_close,gtbif_5day_avg_diff,gtbif_10day_avg_close,gtbif_10day_avg_diff,iipr_Open,iipr_High,iipr_Low,iipr_Close,iipr_Volume,iipr_prev_close,iipr_next_close,iipr_diff,iipr_%change,iipr_5day_avg_close,iipr_5day_avg_diff,iipr_10day_avg_close,iipr_10day_avg_diff,tcnnf_Open,tcnnf_High,tcnnf_Low,tcnnf_Close,tcnnf_Volume,tcnnf_prev_close,tcnnf_next_close,tcnnf_diff,tcnnf_%change,tcnnf_5day_avg_close,tcnnf_5day_avg_diff,tcnnf_10day_avg_close,tcnnf_10day_avg_diff,tlry_Open,tlry_High,tlry_Low,tlry_Close,tlry_Volume,tlry_prev_close,tlry_next_close,tlry_diff,tlry_%change,tlry_5day_avg_close,tlry_5day_avg_diff,tlry_10day_avg_close,tlry_10day_avg_diff,trssf_Open,trssf_High,trssf_Low,trssf_Close,trssf_Volume,trssf_prev_close,trssf_next_close,trssf_diff,trssf_%change,trssf_5day_avg_close,trssf_5day_avg_diff,trssf_10day_avg_close,trssf_10day_avg_diff,vrnof_Open,vrnof_High,vrnof_Low,vrnof_Close,vrnof_Volume,vrnof_prev_close,vrnof_next_close,vrnof_diff,vrnof_%change,vrnof_5day_avg_close,vrnof_5day_avg_diff,vrnof_10day_avg_close,vrnof_10day_avg_diff,mj_Open,mj_High,mj_Low,mj_Close,mj_Volume,mj_prev_close,mj_next_close,mj_diff,mj_%change,mj_5day_avg_close,mj_5day_avg_diff,mj_10day_avg_close,mj_10day_avg_diff,msos_Open,msos_High,msos_Low,msos_Close,msos_Volume,msos_prev_close,msos_next_close,msos_diff,msos_%change,msos_5day_avg_close,msos_5day_avg_diff,msos_10day_avg_close,msos_10day_avg_diff,yolo_Open,yolo_High,yolo_Low,yolo_Close,yolo_Volume,yolo_prev_close,yolo_next_close,yolo_diff,yolo_%change,yolo_5day_avg_close,yolo_5day_avg_diff,yolo_10day_avg_close,yolo_10day_avg_diff,cnbs_Open,cnbs_High,cnbs_Low,cnbs_Close,cnbs_Volume,cnbs_prev_close,cnbs_next_close,cnbs_diff,cnbs_%change,cnbs_5day_avg_close,cnbs_5day_avg_diff,cnbs_10day_avg_close,cnbs_10day_avg_diff,thcx_Open,thcx_High,thcx_Low,thcx_Close,thcx_Volume,thcx_prev_close,thcx_next_close,thcx_diff,thcx_%change,thcx_5day_avg_close,thcx_5day_avg_diff,thcx_10day_avg_close,thcx_10day_avg_diff
2014-04-07,2.448,3.458,2.444,3.3,168600,,3.629,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-04-08,3.554,3.896,3.493,3.629,136800,3.3,3.299,0.3290000000000002,0.09969696969696984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-04-09,3.72,3.72,3.1,3.299,75200,3.629,3.285,-0.33000000000000007,-0.09093414163681457,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-04-10,3.346,3.494,3.029,3.285,206100,3.299,3.085,-0.01399999999999979,-0.004243710215216634,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-04-11,3.204,3.293,3.045,3.085,114600,3.285,2.668,-0.20000000000000018,-0.060882800608828,3.3196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-04-14,3.04,3.04,2.629,2.668,145200,3.085,2.344,-0.4169999999999998,-0.1351701782820096,3.1932,-0.12639999999999993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-04-15,2.532,2.64,2.161,2.344,98000,2.668,2.88,-0.3240000000000003,-0.12143928035982021,2.9362,-0.257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-04-16,2.372,2.88,2.33,2.88,49100,2.344,3.09,0.536,0.22866894197952226,2.8524000000000003,-0.08380000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-04-17,2.944,3.212,2.944,3.09,61800,2.88,3.355,0.20999999999999996,0.07291666666666674,2.8134,-0.039000000000000055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-04-21,3.268,3.605,3.194,3.355,122900,3.09,3.108,0.2650000000000001,0.08576051779935279,2.8674,0.054000000000000006,3.0934999999999997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
